year,age_group,sex,education_category,education_type,region,value
2019,20 - 24 years,Male,All Levels,all,Ireland,65.7
2020,20 - 24 years,Male,All Levels,all,Ireland,56.7
2021,20 - 24 years,Male,All Levels,all,Ireland,64.7
2022,20 - 24 years,Male,All Levels,all,Ireland,66.2
2023,20 - 24 years,Male,All Levels,all,Ireland,72.7
2024,20 - 24 years,Male,All Levels,all,Ireland,70.8
2019,25 - 29 years,Male,All Levels,all,Ireland,83.2
2020,25 - 29 years,Male,All Levels,all,Ireland,78.0
2021,25 - 29 years,Male,All Levels,all,Ireland,81.5
2022,25 - 29 years,Male,All Levels,all,Ireland,84.4
2023,25 - 29 years,Male,All Levels,all,Ireland,83.2
2024,25 - 29 years,Male,All Levels,all,Ireland,86.9
2019,30 - 34 years,Male,All Levels,all,Ireland,88.2
2020,30 - 34 years,Male,All Levels,all,Ireland,85.4
2021,30 - 34 years,Male,All Levels,all,Ireland,85.4
2022,30 - 34 years,Male,All Levels,all,Ireland,87.5
2023,30 - 34 years,Male,All Levels,all,Ireland,89.5
2024,30 - 34 years,Male,All Levels,all,Ireland,87.2
2019,35 - 39 years,Male,All Levels,all,Ireland,89.1
2020,35 - 39 years,Male,All Levels,all,Ireland,86.2
2021,35 - 39 years,Male,All Levels,all,Ireland,87.4
2022,35 - 39 years,Male,All Levels,all,Ireland,91.0
2023,35 - 39 years,Male,All Levels,all,Ireland,89.1
2024,35 - 39 years,Male,All Levels,all,Ireland,89.3
2019,40 - 44 years,Male,All Levels,all,Ireland,87.6
2020,40 - 44 years,Male,All Levels,all,Ireland,87.1
2021,40 - 44 years,Male,All Levels,all,Ireland,88.6
2022,40 - 44 years,Male,All Levels,all,Ireland,91.1
2023,40 - 44 years,Male,All Levels,all,Ireland,91.3
2024,40 - 44 years,Male,All Levels,all,Ireland,91.0
2019,45 - 49 years,Male,All Levels,all,Ireland,86.1
2020,45 - 49 years,Male,All Levels,all,Ireland,86.7
2021,45 - 49 years,Male,All Levels,all,Ireland,85.3
2022,45 - 49 years,Male,All Levels,all,Ireland,87.3
2023,45 - 49 years,Male,All Levels,all,Ireland,91.2
2024,45 - 49 years,Male,All Levels,all,Ireland,90.4
2019,50 - 54 years,Male,All Levels,all,Ireland,84.5
2020,50 - 54 years,Male,All Levels,all,Ireland,81.9
2021,50 - 54 years,Male,All Levels,all,Ireland,83.1
2022,50 - 54 years,Male,All Levels,all,Ireland,88.9
2023,50 - 54 years,Male,All Levels,all,Ireland,86.1
2024,50 - 54 years,Male,All Levels,all,Ireland,88.0
2019,55 - 59 years,Male,All Levels,all,Ireland,77.8
2020,55 - 59 years,Male,All Levels,all,Ireland,75.0
2021,55 - 59 years,Male,All Levels,all,Ireland,78.2
2022,55 - 59 years,Male,All Levels,all,Ireland,80.8
2023,55 - 59 years,Male,All Levels,all,Ireland,84.8
2024,55 - 59 years,Male,All Levels,all,Ireland,81.7
2019,60 - 64 years,Male,All Levels,all,Ireland,60.8
2020,60 - 64 years,Male,All Levels,all,Ireland,61.2
2021,60 - 64 years,Male,All Levels,all,Ireland,58.9
2022,60 - 64 years,Male,All Levels,all,Ireland,68.5
2023,60 - 64 years,Male,All Levels,all,Ireland,71.6
2024,60 - 64 years,Male,All Levels,all,Ireland,67.3
2019,All ages,Male,All Levels,all,Ireland,81.3
2020,All ages,Male,All Levels,all,Ireland,78.5
2021,All ages,Male,All Levels,all,Ireland,80.1
2022,All ages,Male,All Levels,all,Ireland,83.6
2023,All ages,Male,All Levels,all,Ireland,85.0
2024,All ages,Male,All Levels,all,Ireland,84.3
2019,20 - 24 years,Male,Primary & Lower Secondary,detailed,Ireland,32.4
2020,20 - 24 years,Male,Primary & Lower Secondary,detailed,Ireland,31.4
2019,25 - 29 years,Male,Primary & Lower Secondary,detailed,Ireland,55.7
2020,25 - 29 years,Male,Primary & Lower Secondary,detailed,Ireland,40.9
2019,30 - 34 years,Male,Primary & Lower Secondary,detailed,Ireland,64.6
2020,30 - 34 years,Male,Primary & Lower Secondary,detailed,Ireland,61.5
2019,35 - 39 years,Male,Primary & Lower Secondary,detailed,Ireland,67.6
2020,35 - 39 years,Male,Primary & Lower Secondary,detailed,Ireland,62.2
2021,35 - 39 years,Male,Primary & Lower Secondary,detailed,Ireland,77.0
2022,35 - 39 years,Male,Primary & Lower Secondary,detailed,Ireland,75.3
2019,40 - 44 years,Male,Primary & Lower Secondary,detailed,Ireland,66.9
2020,40 - 44 years,Male,Primary & Lower Secondary,detailed,Ireland,65.1
2021,40 - 44 years,Male,Primary & Lower Secondary,detailed,Ireland,65.3
2022,40 - 44 years,Male,Primary & Lower Secondary,detailed,Ireland,66.0
2023,40 - 44 years,Male,Primary & Lower Secondary,detailed,Ireland,72.0
2024,40 - 44 years,Male,Primary & Lower Secondary,detailed,Ireland,67.1
2019,45 - 49 years,Male,Primary & Lower Secondary,detailed,Ireland,69.9
2020,45 - 49 years,Male,Primary & Lower Secondary,detailed,Ireland,69.3
2021,45 - 49 years,Male,Primary & Lower Secondary,detailed,Ireland,65.3
2022,45 - 49 years,Male,Primary & Lower Secondary,detailed,Ireland,60.9
2023,45 - 49 years,Male,Primary & Lower Secondary,detailed,Ireland,79.0
2024,45 - 49 years,Male,Primary & Lower Secondary,detailed,Ireland,72.6
2019,50 - 54 years,Male,Primary & Lower Secondary,detailed,Ireland,70.2
2020,50 - 54 years,Male,Primary & Lower Secondary,detailed,Ireland,69.6
2021,50 - 54 years,Male,Primary & Lower Secondary,detailed,Ireland,72.0
2022,50 - 54 years,Male,Primary & Lower Secondary,detailed,Ireland,75.6
2023,50 - 54 years,Male,Primary & Lower Secondary,detailed,Ireland,62.9
2024,50 - 54 years,Male,Primary & Lower Secondary,detailed,Ireland,80.5
2019,55 - 59 years,Male,Primary & Lower Secondary,detailed,Ireland,68.4
2020,55 - 59 years,Male,Primary & Lower Secondary,detailed,Ireland,66.6
2021,55 - 59 years,Male,Primary & Lower Secondary,detailed,Ireland,69.8
2022,55 - 59 years,Male,Primary & Lower Secondary,detailed,Ireland,69.5
2023,55 - 59 years,Male,Primary & Lower Secondary,detailed,Ireland,76.2
2024,55 - 59 years,Male,Primary & Lower Secondary,detailed,Ireland,69.2
2019,60 - 64 years,Male,Primary & Lower Secondary,detailed,Ireland,56.1
2020,60 - 64 years,Male,Primary & Lower Secondary,detailed,Ireland,54.3
2021,60 - 64 years,Male,Primary & Lower Secondary,detailed,Ireland,48.2
2022,60 - 64 years,Male,Primary & Lower Secondary,detailed,Ireland,62.4
2023,60 - 64 years,Male,Primary & Lower Secondary,detailed,Ireland,66.0
2024,60 - 64 years,Male,Primary & Lower Secondary,detailed,Ireland,58.7
2019,All ages,Male,Primary & Lower Secondary,detailed,Ireland,64.1
2020,All ages,Male,Primary & Lower Secondary,detailed,Ireland,61.8
2021,All ages,Male,Primary & Lower Secondary,detailed,Ireland,64.6
2022,All ages,Male,Primary & Lower Secondary,detailed,Ireland,65.8
2023,All ages,Male,Primary & Lower Secondary,detailed,Ireland,69.5
2024,All ages,Male,Primary & Lower Secondary,detailed,Ireland,64.3
2019,20 - 24 years,Male,Tertiary,detailed,Ireland,80.6
2020,20 - 24 years,Male,Tertiary,detailed,Ireland,69.8
2021,20 - 24 years,Male,Tertiary,detailed,Ireland,71.6
2022,20 - 24 years,Male,Tertiary,detailed,Ireland,84.5
2023,20 - 24 years,Male,Tertiary,detailed,Ireland,84.8
2024,20 - 24 years,Male,Tertiary,detailed,Ireland,77.8
2019,25 - 29 years,Male,Tertiary,detailed,Ireland,88.7
2020,25 - 29 years,Male,Tertiary,detailed,Ireland,84.4
2021,25 - 29 years,Male,Tertiary,detailed,Ireland,90.6
2022,25 - 29 years,Male,Tertiary,detailed,Ireland,92.9
2023,25 - 29 years,Male,Tertiary,detailed,Ireland,90.0
2024,25 - 29 years,Male,Tertiary,detailed,Ireland,91.9
2019,30 - 34 years,Male,Tertiary,detailed,Ireland,93.6
2020,30 - 34 years,Male,Tertiary,detailed,Ireland,92.2
2021,30 - 34 years,Male,Tertiary,detailed,Ireland,90.4
2022,30 - 34 years,Male,Tertiary,detailed,Ireland,92.2
2023,30 - 34 years,Male,Tertiary,detailed,Ireland,92.3
2024,30 - 34 years,Male,Tertiary,detailed,Ireland,92.7
2019,35 - 39 years,Male,Tertiary,detailed,Ireland,93.9
2020,35 - 39 years,Male,Tertiary,detailed,Ireland,91.9
2021,35 - 39 years,Male,Tertiary,detailed,Ireland,93.6
2022,35 - 39 years,Male,Tertiary,detailed,Ireland,94.9
2023,35 - 39 years,Male,Tertiary,detailed,Ireland,96.7
2024,35 - 39 years,Male,Tertiary,detailed,Ireland,93.9
2019,40 - 44 years,Male,Tertiary,detailed,Ireland,93.9
2020,40 - 44 years,Male,Tertiary,detailed,Ireland,92.4
2021,40 - 44 years,Male,Tertiary,detailed,Ireland,93.9
2022,40 - 44 years,Male,Tertiary,detailed,Ireland,95.8
2023,40 - 44 years,Male,Tertiary,detailed,Ireland,95.1
2024,40 - 44 years,Male,Tertiary,detailed,Ireland,93.3
2019,45 - 49 years,Male,Tertiary,detailed,Ireland,93.1
2020,45 - 49 years,Male,Tertiary,detailed,Ireland,93.1
2021,45 - 49 years,Male,Tertiary,detailed,Ireland,90.7
2022,45 - 49 years,Male,Tertiary,detailed,Ireland,93.1
2023,45 - 49 years,Male,Tertiary,detailed,Ireland,93.2
2024,45 - 49 years,Male,Tertiary,detailed,Ireland,93.7
2019,50 - 54 years,Male,Tertiary,detailed,Ireland,93.0
2020,50 - 54 years,Male,Tertiary,detailed,Ireland,89.4
2021,50 - 54 years,Male,Tertiary,detailed,Ireland,91.0
2022,50 - 54 years,Male,Tertiary,detailed,Ireland,97.4
2023,50 - 54 years,Male,Tertiary,detailed,Ireland,94.8
2024,50 - 54 years,Male,Tertiary,detailed,Ireland,94.4
2019,55 - 59 years,Male,Tertiary,detailed,Ireland,85.2
2020,55 - 59 years,Male,Tertiary,detailed,Ireland,83.0
2021,55 - 59 years,Male,Tertiary,detailed,Ireland,86.1
2022,55 - 59 years,Male,Tertiary,detailed,Ireland,91.7
2023,55 - 59 years,Male,Tertiary,detailed,Ireland,89.1
2024,55 - 59 years,Male,Tertiary,detailed,Ireland,86.4
2019,60 - 64 years,Male,Tertiary,detailed,Ireland,62.8
2020,60 - 64 years,Male,Tertiary,detailed,Ireland,66.3
2021,60 - 64 years,Male,Tertiary,detailed,Ireland,67.8
2022,60 - 64 years,Male,Tertiary,detailed,Ireland,71.0
2023,60 - 64 years,Male,Tertiary,detailed,Ireland,70.1
2024,60 - 64 years,Male,Tertiary,detailed,Ireland,70.3
2019,All ages,Male,Tertiary,detailed,Ireland,89.7
2020,All ages,Male,Tertiary,detailed,Ireland,87.5
2021,All ages,Male,Tertiary,detailed,Ireland,88.7
2022,All ages,Male,Tertiary,detailed,Ireland,92.0
2023,All ages,Male,Tertiary,detailed,Ireland,91.3
2024,All ages,Male,Tertiary,detailed,Ireland,90.3
2019,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,64.1
2020,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,54.2
2021,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,64.3
2022,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,62.2
2023,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,69.5
2024,20 - 24 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,71.0
2019,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,81.2
2020,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,74.8
2021,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,73.4
2022,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,76.5
2023,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,75.7
2024,25 - 29 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,82.3
2019,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,87.8
2020,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,82.7
2021,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,82.8
2022,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,85.3
2023,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,88.3
2024,30 - 34 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,81.1
2019,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,90.0
2020,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,86.0
2021,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,84.2
2022,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,90.0
2023,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,86.0
2024,35 - 39 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,89.4
2019,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,86.9
2020,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,86.6
2021,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,88.6
2022,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,89.9
2023,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,90.4
2024,40 - 44 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,94.4
2019,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,87.7
2020,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,87.0
2021,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,86.5
2022,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,90.3
2023,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,91.3
2024,45 - 49 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,90.3
2019,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,86.7
2020,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,82.1
2021,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,80.8
2022,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,85.5
2023,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,82.6
2024,50 - 54 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,83.1
2019,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,79.6
2020,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,74.5
2021,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,75.4
2022,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,80.6
2023,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,84.5
2024,55 - 59 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,85.1
2019,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,64.5
2020,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,65.2
2021,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,65.2
2022,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,70.8
2023,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,76.4
2024,60 - 64 years,Male,Upper Secondary & Post-secondary,detailed,Ireland,72.6
2019,All ages,Male,Upper Secondary & Post-secondary,detailed,Ireland,80.5
2020,All ages,Male,Upper Secondary & Post-secondary,detailed,Ireland,75.7
2021,All ages,Male,Upper Secondary & Post-secondary,detailed,Ireland,77.3
2022,All ages,Male,Upper Secondary & Post-secondary,detailed,Ireland,80.2
2023,All ages,Male,Upper Secondary & Post-secondary,detailed,Ireland,81.7
2024,All ages,Male,Upper Secondary & Post-secondary,detailed,Ireland,82.6
2019,20 - 24 years,Both sexes,All Levels,all,Northern and Western,62.6
2020,20 - 24 years,Both sexes,All Levels,all,Northern and Western,50.1
2021,20 - 24 years,Both sexes,All Levels,all,Northern and Western,69.6
2022,20 - 24 years,Both sexes,All Levels,all,Northern and Western,63.9
2023,20 - 24 years,Both sexes,All Levels,all,Northern and Western,69.0
2024,20 - 24 years,Both sexes,All Levels,all,Northern and Western,70.0
2019,25 - 29 years,Both sexes,All Levels,all,Northern and Western,77.8
2020,25 - 29 years,Both sexes,All Levels,all,Northern and Western,70.0
2021,25 - 29 years,Both sexes,All Levels,all,Northern and Western,70.9
2022,25 - 29 years,Both sexes,All Levels,all,Northern and Western,83.3
2023,25 - 29 years,Both sexes,All Levels,all,Northern and Western,73.3
2024,25 - 29 years,Both sexes,All Levels,all,Northern and Western,77.9
2019,30 - 34 years,Both sexes,All Levels,all,Northern and Western,81.3
2020,30 - 34 years,Both sexes,All Levels,all,Northern and Western,74.9
2021,30 - 34 years,Both sexes,All Levels,all,Northern and Western,83.5
2022,30 - 34 years,Both sexes,All Levels,all,Northern and Western,82.3
2023,30 - 34 years,Both sexes,All Levels,all,Northern and Western,80.8
2024,30 - 34 years,Both sexes,All Levels,all,Northern and Western,79.6
2019,35 - 39 years,Both sexes,All Levels,all,Northern and Western,78.2
2020,35 - 39 years,Both sexes,All Levels,all,Northern and Western,77.8
2021,35 - 39 years,Both sexes,All Levels,all,Northern and Western,80.7
2022,35 - 39 years,Both sexes,All Levels,all,Northern and Western,87.2
2023,35 - 39 years,Both sexes,All Levels,all,Northern and Western,80.9
2024,35 - 39 years,Both sexes,All Levels,all,Northern and Western,84.2
2019,40 - 44 years,Both sexes,All Levels,all,Northern and Western,79.6
2020,40 - 44 years,Both sexes,All Levels,all,Northern and Western,79.3
2021,40 - 44 years,Both sexes,All Levels,all,Northern and Western,80.0
2022,40 - 44 years,Both sexes,All Levels,all,Northern and Western,86.4
2023,40 - 44 years,Both sexes,All Levels,all,Northern and Western,84.3
2024,40 - 44 years,Both sexes,All Levels,all,Northern and Western,84.6
2019,45 - 49 years,Both sexes,All Levels,all,Northern and Western,79.1
2020,45 - 49 years,Both sexes,All Levels,all,Northern and Western,79.8
2021,45 - 49 years,Both sexes,All Levels,all,Northern and Western,79.8
2022,45 - 49 years,Both sexes,All Levels,all,Northern and Western,80.8
2023,45 - 49 years,Both sexes,All Levels,all,Northern and Western,83.7
2024,45 - 49 years,Both sexes,All Levels,all,Northern and Western,87.8
2019,50 - 54 years,Both sexes,All Levels,all,Northern and Western,77.0
2020,50 - 54 years,Both sexes,All Levels,all,Northern and Western,77.5
2021,50 - 54 years,Both sexes,All Levels,all,Northern and Western,79.8
2022,50 - 54 years,Both sexes,All Levels,all,Northern and Western,82.4
2023,50 - 54 years,Both sexes,All Levels,all,Northern and Western,82.9
2024,50 - 54 years,Both sexes,All Levels,all,Northern and Western,79.8
2019,55 - 59 years,Both sexes,All Levels,all,Northern and Western,70.5
2020,55 - 59 years,Both sexes,All Levels,all,Northern and Western,67.0
2021,55 - 59 years,Both sexes,All Levels,all,Northern and Western,74.3
2022,55 - 59 years,Both sexes,All Levels,all,Northern and Western,76.4
2023,55 - 59 years,Both sexes,All Levels,all,Northern and Western,76.2
2024,55 - 59 years,Both sexes,All Levels,all,Northern and Western,75.6
2019,60 - 64 years,Both sexes,All Levels,all,Northern and Western,55.5
2020,60 - 64 years,Both sexes,All Levels,all,Northern and Western,55.3
2021,60 - 64 years,Both sexes,All Levels,all,Northern and Western,61.0
2022,60 - 64 years,Both sexes,All Levels,all,Northern and Western,59.0
2023,60 - 64 years,Both sexes,All Levels,all,Northern and Western,68.3
2024,60 - 64 years,Both sexes,All Levels,all,Northern and Western,61.0
2019,All ages,Both sexes,All Levels,all,Northern and Western,74.0
2020,All ages,Both sexes,All Levels,all,Northern and Western,70.9
2021,All ages,Both sexes,All Levels,all,Northern and Western,76.0
2022,All ages,Both sexes,All Levels,all,Northern and Western,78.5
2023,All ages,Both sexes,All Levels,all,Northern and Western,78.2
2024,All ages,Both sexes,All Levels,all,Northern and Western,78.4
2019,25 - 29 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,51.5
2019,30 - 34 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,51.0
2019,35 - 39 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,56.0
2020,35 - 39 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,37.9
2019,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,54.4
2020,40 - 44 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,65.9
2019,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,64.2
2020,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,59.8
2023,45 - 49 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,63.7
2019,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,61.3
2020,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,59.8
2023,50 - 54 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,74.2
2019,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,59.2
2020,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,60.0
2021,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,62.7
2022,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,70.9
2023,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,76.9
2024,55 - 59 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,58.1
2019,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,51.3
2020,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,50.4
2021,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,54.1
2022,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,50.3
2023,60 - 64 years,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,61.7
2019,All ages,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,55.7
2020,All ages,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,54.3
2021,All ages,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,57.3
2022,All ages,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,58.7
2023,All ages,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,58.8
2024,All ages,Both sexes,Primary & Lower Secondary,detailed,Northern and Western,57.5
2019,20 - 24 years,Both sexes,Tertiary,detailed,Northern and Western,75.9
2020,20 - 24 years,Both sexes,Tertiary,detailed,Northern and Western,64.3
2021,20 - 24 years,Both sexes,Tertiary,detailed,Northern and Western,77.4
2023,20 - 24 years,Both sexes,Tertiary,detailed,Northern and Western,77.7
2019,25 - 29 years,Both sexes,Tertiary,detailed,Northern and Western,82.2
2020,25 - 29 years,Both sexes,Tertiary,detailed,Northern and Western,76.2
2021,25 - 29 years,Both sexes,Tertiary,detailed,Northern and Western,80.0
2022,25 - 29 years,Both sexes,Tertiary,detailed,Northern and Western,89.1
2023,25 - 29 years,Both sexes,Tertiary,detailed,Northern and Western,77.7
2024,25 - 29 years,Both sexes,Tertiary,detailed,Northern and Western,91.2
2019,30 - 34 years,Both sexes,Tertiary,detailed,Northern and Western,87.6
2020,30 - 34 years,Both sexes,Tertiary,detailed,Northern and Western,84.1
2021,30 - 34 years,Both sexes,Tertiary,detailed,Northern and Western,94.3
2022,30 - 34 years,Both sexes,Tertiary,detailed,Northern and Western,94.6
2023,30 - 34 years,Both sexes,Tertiary,detailed,Northern and Western,88.7
2024,30 - 34 years,Both sexes,Tertiary,detailed,Northern and Western,84.9
2019,35 - 39 years,Both sexes,Tertiary,detailed,Northern and Western,84.2
2020,35 - 39 years,Both sexes,Tertiary,detailed,Northern and Western,84.3
2021,35 - 39 years,Both sexes,Tertiary,detailed,Northern and Western,86.5
2022,35 - 39 years,Both sexes,Tertiary,detailed,Northern and Western,89.0
2023,35 - 39 years,Both sexes,Tertiary,detailed,Northern and Western,88.4
2024,35 - 39 years,Both sexes,Tertiary,detailed,Northern and Western,84.0
2019,40 - 44 years,Both sexes,Tertiary,detailed,Northern and Western,88.6
2020,40 - 44 years,Both sexes,Tertiary,detailed,Northern and Western,86.2
2021,40 - 44 years,Both sexes,Tertiary,detailed,Northern and Western,90.5
2022,40 - 44 years,Both sexes,Tertiary,detailed,Northern and Western,89.3
2023,40 - 44 years,Both sexes,Tertiary,detailed,Northern and Western,88.4
2024,40 - 44 years,Both sexes,Tertiary,detailed,Northern and Western,87.9
2019,45 - 49 years,Both sexes,Tertiary,detailed,Northern and Western,87.9
2020,45 - 49 years,Both sexes,Tertiary,detailed,Northern and Western,87.8
2021,45 - 49 years,Both sexes,Tertiary,detailed,Northern and Western,89.2
2022,45 - 49 years,Both sexes,Tertiary,detailed,Northern and Western,90.2
2023,45 - 49 years,Both sexes,Tertiary,detailed,Northern and Western,85.6
2024,45 - 49 years,Both sexes,Tertiary,detailed,Northern and Western,93.3
2019,50 - 54 years,Both sexes,Tertiary,detailed,Northern and Western,86.1
2020,50 - 54 years,Both sexes,Tertiary,detailed,Northern and Western,88.1
2021,50 - 54 years,Both sexes,Tertiary,detailed,Northern and Western,92.0
2022,50 - 54 years,Both sexes,Tertiary,detailed,Northern and Western,91.7
2023,50 - 54 years,Both sexes,Tertiary,detailed,Northern and Western,85.7
2024,50 - 54 years,Both sexes,Tertiary,detailed,Northern and Western,86.2
2019,55 - 59 years,Both sexes,Tertiary,detailed,Northern and Western,77.4
2020,55 - 59 years,Both sexes,Tertiary,detailed,Northern and Western,72.6
2021,55 - 59 years,Both sexes,Tertiary,detailed,Northern and Western,82.7
2022,55 - 59 years,Both sexes,Tertiary,detailed,Northern and Western,89.9
2023,55 - 59 years,Both sexes,Tertiary,detailed,Northern and Western,86.6
2024,55 - 59 years,Both sexes,Tertiary,detailed,Northern and Western,86.1
2019,60 - 64 years,Both sexes,Tertiary,detailed,Northern and Western,55.0
2020,60 - 64 years,Both sexes,Tertiary,detailed,Northern and Western,59.5
2021,60 - 64 years,Both sexes,Tertiary,detailed,Northern and Western,66.4
2022,60 - 64 years,Both sexes,Tertiary,detailed,Northern and Western,61.9
2023,60 - 64 years,Both sexes,Tertiary,detailed,Northern and Western,64.8
2024,60 - 64 years,Both sexes,Tertiary,detailed,Northern and Western,64.7
2019,All ages,Both sexes,Tertiary,detailed,Northern and Western,82.9
2020,All ages,Both sexes,Tertiary,detailed,Northern and Western,80.9
2021,All ages,Both sexes,Tertiary,detailed,Northern and Western,86.1
2022,All ages,Both sexes,Tertiary,detailed,Northern and Western,87.8
2023,All ages,Both sexes,Tertiary,detailed,Northern and Western,84.4
2024,All ages,Both sexes,Tertiary,detailed,Northern and Western,85.6
2019,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,61.7
2020,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,46.9
2021,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,67.9
2022,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,60.0
2023,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,69.3
2024,20 - 24 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,69.2
2019,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,75.6
2020,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,65.6
2022,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,80.7
2023,25 - 29 years,Both sexes,Upper Secondary & Post-secondary,detailed,Northern and Western,82.9
